temp,evpsfc,nldasID,year,month
305.0,3.0774,x73y67,2005,6
304.95,0.0,x74y67,2005,6
304.71,0.0,x75y67,2005,6
291.46,53.1702,x66y68,2005,6
289.92,72.9014,x67y68,2005,6
292.06,26.879,x68y68,2005,6
294.46,26.8502,x69y68,2005,6
295.95,22.623,x70y68,2005,6
298.5,10.2774,x71y68,2005,6
303.67,3.0614,x72y68,2005,6
304.92,0.0,x73y68,2005,6
304.57,3.647,x74y68,2005,6
303.14,9.8966,x75y68,2005,6
291.12,61.1126,x66y69,2005,6
290.33,67.3046,x67y69,2005,6
290.46,58.4502,x68y69,2005,6
290.85,28.8246,x69y69,2005,6
296.29,12.3894,x70y69,2005,6
302.35,5.5542,x71y69,2005,6
303.59,4.1014,x72y69,2005,6
303.25,10.7734,x73y69,2005,6
301.16,9.5254,x74y69,2005,6
300.93,7.9798,x75y69,2005,6
292.22,60.6134,x66y70,2005,6
289.49,70.9238,x67y70,2005,6
292.5,16.9174,x68y70,2005,6
297.19,11.919,x69y70,2005,6
301.38,8.4886,x70y70,2005,6
302.68,7.0934,x71y70,2005,6
301.23,14.0118,x72y70,2005,6
299.24,19.327,x73y70,2005,6
299.35,16.1526,x74y70,2005,6
299.73,11.9958,x75y70,2005,6
291.39,55.1958,x66y71,2005,6
287.61,30.6934,x67y71,2005,6
297.3,9.663,x68y71,2005,6
301.0,12.7126,x69y71,2005,6
301.52,13.711,x70y71,2005,6
300.0,14.5334,x71y71,2005,6
296.52,26.8982,x72y71,2005,6
296.31,18.4342,x73y71,2005,6
297.78,13.2566,x74y71,2005,6
299.1,13.823,x75y71,2005,6
294.85,33.2854,x66y72,2005,6
296.99,17.7782,x67y72,2005,6
299.7,11.919,x68y72,2005,6
299.26,12.8726,x69y72,2005,6
296.93,13.9542,x70y72,2005,6
294.55,27.3782,x71y72,2005,6
294.74,29.343,x72y72,2005,6
297.41,16.271,x73y72,2005,6
299.27,12.9974,x74y72,2005,6
300.93,7.7238,x75y72,2005,6
287.05,49.5254,x66y73,2005,6
292.78,36.6358,x67y73,2005,6
296.19,28.2582,x68y73,2005,6
295.32,29.5446,x69y73,2005,6
294.56,20.9078,x70y73,2005,6
295.2,14.9174,x71y73,2005,6
295.82,25.855,x72y73,2005,6
298.06,10.207,x73y73,2005,6
300.31,7.6662,x74y73,2005,6
300.94,11.9574,x75y73,2005,6
287.15,54.2806,x66y74,2005,6
288.52,37.5766,x67y74,2005,6
293.1,27.0646,x68y74,2005,6
295.44,22.879,x69y74,2005,6
297.34,11.087,x70y74,2005,6
298.69,8.111,x71y74,2005,6
299.88,9.1542,x72y74,2005,6
300.98,9.0902,x73y74,2005,6
301.89,7.7654,x74y74,2005,6
301.56,9.8134,x75y74,2005,6
296.47003,45.7012,x66y66,2005,7
297.02005,53.2788,x67y66,2005,7
297.98004,52.7348,x68y66,2005,7
301.82004,25.01,x69y66,2005,7
307.23004,14.4756,x70y66,2005,7
309.06003,10.8148,x71y66,2005,7
309.92004,6.3476,x72y66,2005,7
310.44003,2.4628,x73y66,2005,7
310.71005,0.0,x74y66,2005,7
310.52005,0.0,x75y66,2005,7
295.38004,50.0404,x66y67,2005,7
298.25003,47.5572,x67y67,2005,7
296.88004,32.7348,x68y67,2005,7
302.67004,21.2532,x69y67,2005,7
307.04004,16.2612,x70y67,2005,7
306.36005,19.6852,x71y67,2005,7
309.11005,4.85,x72y67,2005,7
310.80005,2.8148,x73y67,2005,7
310.74005,0.0,x74y67,2005,7
310.49005,0.0,x75y67,2005,7
297.79004,40.4084,x66y68,2005,7
296.62003,50.1236,x67y68,2005,7
298.92004,32.1972,x68y68,2005,7
301.26004,29.6756,x69y68,2005,7
302.65002,24.3188,x70y68,2005,7
304.96005,13.202,x71y68,2005,7
309.82004,4.0436,x72y68,2005,7
310.80005,0.0,x73y68,2005,7
310.45004,3.4996,x74y68,2005,7
309.05005,9.4388,x75y68,2005,7
297.57004,48.1204,x66y69,2005,7
297.10004,56.1076,x67y69,2005,7
297.37003,47.6276,x68y69,2005,7
297.78003,32.2804,x69y69,2005,7
303.22003,16.7156,x70y69,2005,7
309.00003,9.5796,x71y69,2005,7
309.94003,6.4308,x72y69,2005,7
309.34003,9.298,x73y69,2005,7
307.13004,9.6052,x74y69,2005,7
306.82004,8.9652,x75y69,2005,7
298.73004,41.0804,x66y70,2005,7
296.37003,52.7284,x67y70,2005,7
299.44003,24.0884,x68y70,2005,7
304.14005,17.1636,x69y70,2005,7
308.34003,12.562,x70y70,2005,7
309.42004,10.29,x71y70,2005,7
307.73004,15.1668,x72y70,2005,7
305.50003,18.29,x73y70,2005,7
305.39005,14.0852,x74y70,2005,7
305.57004,11.666,x75y70,2005,7
297.97003,35.6916,x66y71,2005,7
294.62003,29.0548,x67y71,2005,7
304.23004,13.3748,x68y71,2005,7
307.85004,13.5668,x69y71,2005,7
308.31003,14.7252,x70y71,2005,7
306.69003,15.0708,x71y71,2005,7
303.09003,24.7924,x72y71,2005,7
302.72003,20.4148,x73y71,2005,7
303.99005,12.7668,x74y71,2005,7
305.11005,13.97,x75y71,2005,7
301.38004,23.73,x66y72,2005,7
303.76004,18.418,x67y72,2005,7
306.48004,14.2708,x68y72,2005,7
306.00003,15.1796,x69y72,2005,7
303.62003,17.2724,x70y72,2005,7
301.23004,28.5748,x71y72,2005,7
301.42004,29.9508,x72y72,2005,7
303.97003,20.6836,x73y72,2005,7
305.65002,12.0372,x74y72,2005,7
307.13004,7.1412,x75y72,2005,7
293.36005,35.1668,x66y73,2005,7
299.04004,26.674,x67y73,2005,7
302.69003,26.7124,x68y73,2005,7
302.01004,30.994,x69y73,2005,7
301.30005,26.0276,x70y73,2005,7
301.88004,20.8884,x71y73,2005,7
302.45004,29.2468,x72y73,2005,7
304.54004,16.9524,x73y73,2005,7
306.60004,8.3572,x74y73,2005,7
307.07004,12.1716,x75y73,2005,7
293.22003,49.3108,x66y74,2005,7
